USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,NAME_FIELD,PATH,
166207,13-AUG-20 12.22.03.889000000 PM,1107450,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21551995/196400/image.jpg,Success
126148,13-AUG-20 10.39.38.612000000 AM,1107443,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551986/428867/20200812_234450.mp4,Success
126148,13-AUG-20 05.41.12.410000000 AM,1107441,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551926/391695/20200812_234450.mp4,Success
126148,13-AUG-20 05.41.12.410000000 AM,1107442,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551926/391725/20200812_234450.mp4,Success
78405,13-AUG-20 03.52.55.872000000 AM,1107439,Screenwriting.pdf,http://52.252.6.133/suite/repository/workspace/Users/78405/Assessment Attempt Attachments/21551832/423780/Screenwriting.pdf,Success
95375,13-AUG-20 03.47.32.602000000 AM,1107438,honor roll.pdf,http://52.252.6.133/suite/repository/workspace/Users/95375/Assessment Attempt Attachments/21551810/459644/honor roll.pdf,Success
126148,13-AUG-20 03.46.28.484000000 AM,1107425,20200812_212315.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551453/391511/20200812_212315.mp4,Success
126148,13-AUG-20 03.46.28.484000000 AM,1107436,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551453/391645/20200812_234450.mp4,Success
126148,13-AUG-20 03.46.28.484000000 AM,1107433,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551453/391667/20200812_234450.mp4,Success
126148,13-AUG-20 03.46.28.484000000 AM,1107434,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551453/392551/20200812_234450.mp4,Success
126148,13-AUG-20 03.46.28.484000000 AM,1107424,20200812_212258.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551453/391552/20200812_212258.mp4,Success
126148,13-AUG-20 03.46.28.484000000 AM,1107437,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21551453/391589/20200812_234450.mp4,Success
169613,13-AUG-20 03.45.45.335000000 AM,1107435,Final Essay.rtf,http://52.252.6.133/suite/repository/workspace/Users/169613/Assessment Attempt Attachments/21551884/354693/Final Essay.rtf,Success
133462,13-AUG-20 03.45.20.184000000 AM,1107432,cellphones in school.pdf,http://52.252.6.133/suite/repository/workspace/Users/133462/Assessment Attempt Attachments/21551870/354265/cellphones in school.pdf,Success
169613,13-AUG-20 03.29.52.015000000 AM,1107431,draft.docx,http://52.252.6.133/suite/repository/workspace/Users/169613/Assessment Attempt Attachments/21551859/354820/draft.docx,Success
169613,13-AUG-20 02.47.58.068000000 AM,1107430,essay draft.rtf,http://52.252.6.133/suite/repository/workspace/Users/169613/Assessment Attempt Attachments/21551792/354692/essay draft.rtf,Success
150607,13-AUG-20 02.11.44.514000000 AM,1107429,WS.EDHS.2018.ELA.X.96 (1).pdf,http://52.252.6.133/suite/repository/workspace/Users/150607/Assessment Attempt Attachments/21551793/439495/WS.EDHS.2018.ELA.X.96 (1).pdf,Success
95375,13-AUG-20 02.09.01.265000000 AM,1107428,RUB.EDHS.2019.ELA.X.118.pdf,http://52.252.6.133/suite/repository/workspace/Users/95375/Assessment Attempt Attachments/21549969/459612/RUB.EDHS.2019.ELA.X.118.pdf,Success
150607,13-AUG-20 02.08.34.826000000 AM,1107427,RG.EDHS.LA001.D.1.13 (1).pdf,http://52.252.6.133/suite/repository/workspace/Users/150607/Assessment Attempt Attachments/21551543/419301/RG.EDHS.LA001.D.1.13 (1).pdf,Success
169613,13-AUG-20 01.35.38.460000000 AM,1107426,short story.docx,http://52.252.6.133/suite/repository/workspace/Users/169613/Assessment Attempt Attachments/21551741/354819/short story.docx,Success
125866,13-AUG-20 01.26.02.329000000 AM,1107423,kevins birthday-Selena Rodriguez.docx,http://52.252.6.133/suite/repository/workspace/Users/125866/Assessment Attempt Attachments/21551746/354835/kevins birthday-Selena Rodriguez.docx,Success
