EXTERNAL_URL,Result,Details,UpdatedURL
https://www.khanacademy.org/math/trigonometry/v/basic-trigonometry,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/v/basic-trigonometry
https://www.kibagames.com/Game/Flash_Tennis,Redirected,URL should be updated to match Redirected URL,https://www.kibagames.com/Game/Flash-Tennis
https://www.kidnetic.com/Kore/Fitness.aspx,404,"('Not Found', 'Nothing matches the given URI')",
https://www.kidnetic.com/Kore/Move.aspx,404,"('Not Found', 'Nothing matches the given URI')",
https://www.kidscom.com/games/isg/isg.html,Failed,Failed to establish a connection,
https://www.kidspast.com/world-history/0035-new-kingdom.php,Redirected,URL should be updated to match Redirected URL,https://www.education.com/resources/history/?referral_url=kidspast.com
https://www.kidzworld.com/online-games/1-tennis-ace,Success,,
https://www.kidzworld.com/online-games/122-balance,Success,,
https://www.kidzworld.com/online-games/136-big-hit,Success,,
https://www.kidzworld.com/online-games/5-batting-champ,Success,,
https://www.kion546.com/news/special-reports/preventing-youth-violence-on-the-central-coast/87763002,404,"('Not Found', 'Nothing matches the given URI')",
https://www.koikiwi.com/anti_plastic_pollution_games.html,Success,,
https://www.kongregate.com/games/ironstarhelsinki/loco-motion,Success,,
https://www.kval.com/news/local/Physical-activity-is-critical-to-academic-and-life-success-186373151.html?tab=video&c=y,404,"('Not Found', 'Nothing matches the given URI')",
https://www.kwiznet.com/p/takeQuiz.php?ChapterID=2476&CurriculumID=40,Failed - https,Failed with https; Successful as http,http://www.kwiznet.com/p/takeQuiz.php?ChapterID=2476&CurriculumID=40
